year,month0,day0,doy0,yue30,yue40,daymarch0,month5,day5,doy5,yue35,yue45,daymarch5,month10,day10,doy10,yue310,yue410,daymarch10,month20,day20,doy20,yue320,yue420,daymarch20
1951,3,23,82,59,90,23,4,15,105,59,90,46,4,25,115,59,90,56,5,26,147,59,90,88
1952,3,22,82,60,91,22,4,20,111,60,91,51,4,28,119,60,91,59,6,8,161,60,91,101
1953,4,14,104,59,90,45,4,22,112,59,90,53,5,17,138,59,90,79,6,13,165,59,90,106
1954,3,31,90,59,90,31,4,9,99,59,90,40,4,30,120,59,90,61,6,25,177,59,90,118
1955,4,5,95,59,90,36,4,20,110,59,90,51,5,7,128,59,90,69,6,20,172,59,90,113
1956,4,2,93,60,91,33,4,21,112,60,91,52,4,30,121,60,91,61,5,26,148,60,91,88
1957,4,2,92,59,90,33,4,17,107,59,90,48,5,14,135,59,90,76,6,27,179,59,90,120
1958,4,3,93,59,90,34,4,16,106,59,90,47,5,12,133,59,90,74,5,29,150,59,90,91
1959,3,16,75,59,90,16,4,18,108,59,90,49,4,29,119,59,90,60,6,10,162,59,90,103
1960,4,2,93,60,91,33,4,16,107,60,91,47,5,10,132,60,91,72,6,9,162,60,91,102
