Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1961","1961","1000 ha","474484.4445","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1962","1962","1000 ha","476592.9315","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1963","1963","1000 ha","479369.5782","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1964","1964","1000 ha","481903.8096","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1965","1965","1000 ha","486259.191","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1966","1966","1000 ha","487028.5257","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1967","1967","1000 ha","489580.5639","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1968","1968","1000 ha","513569.5611","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1969","1969","1000 ha","510888.0189","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1970","1970","1000 ha","493432.4985","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1971","1971","1000 ha","499536.1667","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1972","1972","1000 ha","499815","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1973","1973","1000 ha","497897","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1974","1974","1000 ha","500357","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1975","1975","1000 ha","499547","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1976","1976","1000 ha","500742","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1977","1977","1000 ha","491510","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1978","1978","1000 ha","496100","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1979","1979","1000 ha","493238","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1980","1980","1000 ha","495638","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1981","1981","1000 ha","495565","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1982","1982","1000 ha","490772","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1983","1983","1000 ha","483789","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1984","1984","1000 ha","486558","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1985","1985","1000 ha","486791","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1986","1986","1000 ha","468541","I","Imputed value"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1987","1987","1000 ha","471020","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1988","1988","1000 ha","472052","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1989","1989","1000 ha","467104","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6610","Agricultural land","1990","1990","1000 ha","464437","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6670","Other land","1990","1990","1000 ha","169910.8","I","Imputed value"
