Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1990,1990,1000 persons,2482.446,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1990,1990,1000 persons,14558.985,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1991,1991,1000 persons,14750.691,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1991,1991,1000 persons,2521.183,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1992,1992,1000 persons,2573.024,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1992,1992,1000 persons,14912.924,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1993,1993,1000 persons,15062.184,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1993,1993,1000 persons,2625.295,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1994,1994,1000 persons,2677.339,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1994,1994,1000 persons,15205.398,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1995,1995,1000 persons,15346.879,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1995,1995,1000 persons,2729.864,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1996,1996,1000 persons,2783.238,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1996,1996,1000 persons,15488.447,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1997,1997,1000 persons,15630.214,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1997,1997,1000 persons,2837.374,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1998,1998,1000 persons,2892.475,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1998,1998,1000 persons,15772.57,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,1999,1999,1000 persons,15915.585,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,1999,1999,1000 persons,2948.527,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2000,2000,1000 persons,3005.744,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2000,2000,1000 persons,16060.093,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2001,2001,1000 persons,16204.901,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2001,2001,1000 persons,3063.632,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2002,2002,1000 persons,3072.827,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2002,2002,1000 persons,16402.364,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2003,2003,1000 persons,16612.936,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2003,2003,1000 persons,3084.036,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2004,2004,1000 persons,3099.437,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2004,2004,1000 persons,16848.992,X,Figure from international organizations,
OA,Annual population,10,Australia,561,Urban_population,3010,Population - Est. & Proj.,2005,2005,1000 persons,17118.434,X,Figure from international organizations,
OA,Annual population,10,Australia,551,Rural_population,3010,Population - Est. & Proj.,2005,2005,1000 persons,3120.469,X,Figure from international organizations,
