Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1961","1961","1000 ha","14378.5863","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1961","1961","1000 ha","172.8069","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1961","1961","1000 ha","459933.0513","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1962","1962","1000 ha","460898.6655","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1962","1962","1000 ha","178.4727","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1962","1962","1000 ha","15515.7933","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1963","1963","1000 ha","15383.4564","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1963","1963","1000 ha","180.4962","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1963","1963","1000 ha","463805.6256","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1964","1964","1000 ha","465425.6397","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1964","1964","1000 ha","182.115","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1964","1964","1000 ha","16296.0549","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1965","1965","1000 ha","17327.6352","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1965","1965","1000 ha","183.3291","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1965","1965","1000 ha","468748.2267","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1966","1966","1000 ha","468060.2367","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1966","1966","1000 ha","182.9244","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1966","1966","1000 ha","18785.3646","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1967","1967","1000 ha","19273.8375","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1967","1967","1000 ha","182.5197","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1967","1967","1000 ha","470124.2067","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1968","1968","1000 ha","491974.3644","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1968","1968","1000 ha","183.7338","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1968","1968","1000 ha","21411.4629","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1969","1969","1000 ha","19636.044","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1969","1969","1000 ha","186.162","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1969","1969","1000 ha","491065.8129","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1970","1970","1000 ha","474752.3559","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1970","1970","1000 ha","186.162","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1970","1970","1000 ha","18493.9806","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1971","1971","1000 ha","16857","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1971","1971","1000 ha","190","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1971","1971","1000 ha","482489.1667","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1972","1972","1000 ha","482584","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1972","1972","1000 ha","184","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1972","1972","1000 ha","17047","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1973","1973","1000 ha","14924","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1973","1973","1000 ha","178","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1973","1973","1000 ha","482795","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1974","1974","1000 ha","485400","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1974","1974","1000 ha","179","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1974","1974","1000 ha","14778","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1975","1975","1000 ha","13573","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1975","1975","1000 ha","174","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1975","1975","1000 ha","485800","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1976","1976","1000 ha","486100","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1976","1976","1000 ha","170","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1976","1976","1000 ha","14472","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1977","1977","1000 ha","14843","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1977","1977","1000 ha","167","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1977","1977","1000 ha","476500","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1978","1978","1000 ha","479300","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1978","1978","1000 ha","165","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1978","1978","1000 ha","16635","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6621","Arable land","1979","1979","1000 ha","17270","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6650","Land under permanent crops","1979","1979","1000 ha","168","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1979","1979","1000 ha","475800","A","Official figure"
"RL","Land Use","10","Australia","5110","Area","6655","Land under perm. meadows and pastures","1980","1980","1000 ha","477684","A","Official figure"
