year,month0,day0,doy0,yue30,yue40,thermal_time0,month5,day5,doy5,yue35,yue45,thermal_time5,month10,day10,doy10,yue310,yue410,thermal_time10,month20,day20,doy20,yue320,yue420,thermal_time20
1951,11,4,311,59,90,3237.9,10,20,296,59,90,3080.1,10,8,284,59,90,2846.6,8,22,236,59,90,1561.1
1952,11,4,312,60,91,3349.8,10,20,296,59,90,3158.8,10,9,285,59,90,2974.2,8,30,244,59,90,1680.7
1953,10,28,304,59,90,3196,10,18,294,59,90,3125.7,10,7,283,59,90,2727.7,8,19,233,59,90,1578.7
1954,11,8,315,59,90,3158.4,10,27,303,59,90,3038.1,10,2,278,59,90,2755.8,9,1,246,59,90,1482.3
1955,10,29,305,59,90,3296,10,5,281,59,90,3071,9,29,274,59,90,2902,8,26,240,59,90,1619
1956,11,3,311,60,91,3178.4,10,17,293,59,90,3020.8,9,24,269,59,90,2075.8,8,15,229,59,90,1270.9
1957,10,27,303,59,90,3124.8,10,15,291,59,90,3002,9,22,267,59,90,2256.7,8,12,226,59,90,942.2
1958,11,6,313,59,90,3123.9,10,24,300,59,90,3070.3,9,30,275,59,90,2699.3,8,18,232,59,90,1450.8
1959,11,5,312,59,90,3379.4,10,23,299,59,90,3174.6,10,9,285,59,90,2936.4,8,26,240,59,90,1470.2
1960,11,1,309,60,91,3100.4,10,13,289,59,90,3017.6,10,1,277,59,90,2702.7,8,31,245,59,90,1836.8
