year,month0,day0,doy0,yue30,yue40,daymarch0,month5,day5,doy5,yue35,yue45,daymarch5,month10,day10,doy10,yue310,yue410,daymarch10,month20,day20,doy20,yue320,yue420,daymarch20
1951,11,4,311,59,90,252,10,20,296,59,90,237,10,8,284,59,90,225,8,22,236,59,90,177
1952,11,4,312,60,91,252,10,20,296,59,90,237,10,9,285,59,90,226,8,30,244,59,90,185
1953,10,28,304,59,90,245,10,18,294,59,90,235,10,7,283,59,90,224,8,19,233,59,90,174
1954,11,8,315,59,90,256,10,27,303,59,90,244,10,2,278,59,90,219,9,1,246,59,90,187
1955,10,29,305,59,90,246,10,5,281,59,90,222,9,29,274,59,90,215,8,26,240,59,90,181
1956,11,3,311,60,91,251,10,17,293,59,90,234,9,24,269,59,90,210,8,15,229,59,90,170
1957,10,27,303,59,90,244,10,15,291,59,90,232,9,22,267,59,90,208,8,12,226,59,90,167
1958,11,6,313,59,90,254,10,24,300,59,90,241,9,30,275,59,90,216,8,18,232,59,90,173
1959,11,5,312,59,90,253,10,23,299,59,90,240,10,9,285,59,90,226,8,26,240,59,90,181
1960,11,1,309,60,91,249,10,13,289,59,90,230,10,1,277,59,90,218,8,31,245,59,90,186
